level_id,attempts,users,attempt_win_rate,first_attempt_win_rate,avg_attempt,median_attempt,avg_playtime,revive_rate,avg_unsolved_items,avg_move,failed_attempts,retries_after_fail,retry_after_fail_rate,users_reached,users_reached_next,dropoff_rate,is_priority
454,247,141,0.5709,0.6508,2.48,1.0,181.1,0.5789,4.78,35.93,106,104,0.9811,143.0,143.0,0.0,False
455,151,136,0.9073,0.9111,1.12,1.0,142.13,0.2848,0.7,28.69,14,14,1.0,143.0,142.0,0.007,False
456,158,137,0.8671,0.8976,1.27,1.0,146.25,0.3418,1.28,35.21,21,21,1.0,142.0,144.0,-0.0141,False
457,230,136,0.5783,0.6557,2.01,1.0,135.41,0.4783,4.21,26.6,97,93,0.9588,144.0,139.0,0.0347,False
458,150,134,0.9,0.8923,1.14,1.0,117.11,0.2667,0.99,32.69,15,15,1.0,139.0,140.0,-0.0072,False
459,273,133,0.4872,0.595,2.71,2.0,192.48,0.4396,5.4,35.85,140,138,0.9857,140.0,141.0,-0.0071,False
460,154,130,0.8571,0.845,1.18,1.0,136.15,0.2662,1.49,40.6,22,22,1.0,141.0,140.0,0.0071,False
461,253,129,0.5059,0.5462,2.15,2.0,136.55,0.5336,4.83,29.97,125,123,0.984,140.0,137.0,0.0214,False
462,167,127,0.7605,0.7731,1.41,1.0,163.69,0.3114,2.64,33.62,40,40,1.0,137.0,133.0,0.0292,False
463,159,124,0.7799,0.7931,1.41,1.0,153.9,0.3711,2.14,34.69,35,35,1.0,133.0,135.0,-0.015,False
464,327,126,0.3792,0.4234,2.87,2.0,120.55,0.581,5.86,25.74,203,201,0.9901,135.0,133.0,0.0148,False
465,125,123,0.992,0.9919,1.01,1.0,99.38,0.008,0.05,30.92,1,1,1.0,133.0,132.0,0.0075,False
466,367,123,0.3351,0.3214,3.52,2.0,80.32,0.4714,6.66,22.22,244,244,1.0,132.0,135.0,-0.0227,False
467,369,118,0.3008,0.419,4.92,3.0,117.21,0.3902,7.05,23.88,258,251,0.9729,135.0,127.0,0.0593,False
468,163,115,0.7055,0.7184,1.61,1.0,134.28,0.3374,2.57,26.67,48,48,1.0,127.0,129.0,-0.0157,False
469,231,114,0.4848,0.4951,2.29,2.0,158.38,0.5108,5.9,33.5,119,117,0.9832,129.0,126.0,0.0233,False
470,155,109,0.7032,0.697,1.57,1.0,131.73,0.3935,2.99,31.85,46,46,1.0,126.0,124.0,0.0159,False
471,422,110,0.2559,0.3438,4.7,3.0,153.59,0.4953,7.84,24.31,314,311,0.9904,124.0,120.0,0.0323,False
472,191,105,0.5445,0.5,1.92,1.0,212.6,0.4607,5.42,41.19,87,86,0.9885,120.0,113.0,0.0583,False
473,109,101,0.9266,0.9406,1.1,1.0,123.31,0.1743,0.67,38.36,8,8,1.0,113.0,114.0,-0.0088,False
474,305,101,0.3213,0.3977,3.85,3.0,182.49,0.5377,7.85,26.41,207,203,0.9807,114.0,112.0,0.0175,False
475,141,97,0.6879,0.6813,1.53,1.0,183.07,0.3404,3.28,37.28,44,44,1.0,112.0,109.0,0.0268,False
476,164,95,0.5793,0.6265,2.05,1.0,177.88,0.5183,3.85,39.04,69,68,0.9855,109.0,111.0,-0.0183,False
477,128,90,0.7109,0.7326,1.67,1.0,175.53,0.2344,3.23,33.95,37,37,1.0,111.0,108.0,0.027,False
478,137,87,0.6277,0.6329,1.87,1.0,155.3,0.292,4.5,34.87,51,49,0.9608,108.0,107.0,0.0093,False
479,188,88,0.4574,0.4937,2.56,2.0,218.79,0.4894,6.65,36.55,102,98,0.9608,107.0,105.0,0.0187,False
480,109,82,0.7431,0.7692,1.5,1.0,163.24,0.2844,2.9,35.87,28,25,0.8929,105.0,102.0,0.0286,False
481,141,81,0.5674,0.5714,2.01,2.0,233.59,0.7376,4.31,38.38,61,59,0.9672,102.0,104.0,-0.0196,False
482,156,80,0.5064,0.5676,2.18,2.0,156.19,0.4808,5.67,31.64,77,75,0.974,104.0,103.0,0.0096,False
483,96,78,0.8229,0.8442,1.28,1.0,180.99,0.2083,1.85,38.56,17,17,1.0,103.0,105.0,-0.0194,False
484,187,77,0.4064,0.4648,3.12,2.0,153.55,0.6578,6.75,30.03,111,110,0.991,105.0,103.0,0.019,False
